ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000206990	NA	Y_RNA	NA	NA	NA	NA
ENSG00000230175	NA	RP11-466F5.3	NA	NA	NA	NA
ENSG00000225272	NA	RP11-466F5.4	NA	NA	NA	NA
ENSG00000215838	440700	RP11-466F5.6	NA	NA	NA	NA
ENSG00000273365	NA	RP11-466F5.10	NA	NA	NA	NA
ENSG00000143183	54499	TMCO1	TMCO1	614123	Q9UM00	NA
ENSG00000230659	NA	RP11-466F5.9	NA	NA	NA	NA
ENSG00000143179	100500832	UCK2	UCK2	609329	Q9BZX2	DB02097:DB02431:DB03403:DB04005:DB04272
ENSG00000236364	NA	RP11-525G13.2	NA	NA	NA	NA
ENSG00000271527	NA	RP11-7G12.2	NA	NA	NA	NA
ENSG00000188859	149297	FAM78B	FAM78B	NA	Q5VT40	NA
ENSG00000230898	NA	RP11-9L18.3	NA	NA	NA	NA
ENSG00000215952	100126349	MIR921	MIR921	NA	NA	NA
ENSG00000215835	NA	RP11-9L18.2	NA	NA	NA	NA
ENSG00000229588	NA	RP11-479J7.2	NA	NA	NA	NA
ENSG00000225325	NA	RP11-479J7.1	NA	NA	NA	NA
ENSG00000230231	NA	FMO7P	FMO7P	NA	NA	NA
ENSG00000234142	NA	RP11-276E17.2	NA	NA	NA	NA
ENSG00000215834	116123	FMO9P	FMO9P	NA	NA	NA
ENSG00000232341	NA	RPL4P2	RPL4P2	NA	NA	NA
ENSG00000232223	NA	CNN2P10	CNN2P10	NA	NA	NA
ENSG00000143157	57645	POGK	POGK	NA	Q9P215	NA
ENSG00000225171	NA	DUTP6	DUTP6	NA	NA	NA
ENSG00000143195	387597	ILDR2	ILDR2	NA	Q71H61	NA
ENSG00000143194	84944	MAEL	MAEL	611368	Q96JY0	NA
ENSG00000200036	NA	RNA5SP65	RNA5SP65	NA	NA	NA
ENSG00000238325	NA	snoU13	NA	NA	NA	NA
ENSG00000227907	NA	RP11-102C16.3	NA	NA	NA	NA
ENSG00000143167	10223	GPA33	GPA33	602171	Q99795	NA
ENSG00000198842	92235	DUSP27	DUSP27	NA	Q5VZP5	NA
ENSG00000145703	10788	IQGAP2	IQGAP2	605401	Q13576	NA
ENSG00000225407	NA	CTD-2384B11.2	NA	NA	NA	NA
ENSG00000181104	2149	F2R	F2R	187930	P25116	DB00086:DB05361:DB09030:DB11300
ENSG00000252684	NA	RNU6ATAC36P	RNU6ATAC36P	NA	NA	NA
ENSG00000145708	1393	CRHBP	CRHBP	122559	P24387	NA
ENSG00000164252	55109	AGGF1	AGGF1	608464	Q8N302	NA
ENSG00000132846	84327	ZBED3	ZBED3	615250	Q96IU2	NA
ENSG00000250615	NA	CTC-564N23.2	NA	NA	NA	NA
ENSG00000238961	677828	SNORA47	SNORA47	NA	NA	NA
ENSG00000250802	NA	ZBED3-AS1	ZBED3-AS1	NA	NA	NA
ENSG00000222316	NA	AC008581.1	NA	NA	NA	NA
ENSG00000251566	NA	HMGB1P35	HMGB1P35	NA	NA	NA
ENSG00000113231	8622	PDE8B	PDE8B	603390	O95263	DB00201:DB09283
ENSG00000251400	NA	ALDH7A1P1	ALDH7A1P1	NA	NA	NA
ENSG00000164253	55255	WDR41	WDR41	NA	Q9HAD4	NA
ENSG00000244019	NA	RPS2P24	RPS2P24	NA	NA	NA
ENSG00000244363	NA	RPL7P23	RPL7P23	NA	NA	NA
ENSG00000213763	NA	ACTBP2	ACTBP2	NA	NA	NA
ENSG00000253572	NA	RP11-107N7.1	NA	NA	NA	NA
ENSG00000132842	8546	AP3B1	AP3B1	603401	O00203	NA
ENSG00000253558	NA	CTD-2179L22.1	NA	NA	NA	NA
ENSG00000222085	NA	AC024568.1	NA	NA	NA	NA
ENSG00000249372	NA	ATP6V1G1P6	ATP6V1G1P6	NA	NA	NA
ENSG00000251605	NA	CTD-2037K23.1	NA	NA	NA	NA
ENSG00000200331	NA	RNU6-183P	RNU6-183P	NA	NA	NA
ENSG00000206714	NA	Y_RNA	NA	NA	NA	NA
ENSG00000245556	728769	CTD-2037K23.2	NA	NA	NA	NA
ENSG00000085365	9522	SCAMP1	SCAMP1	606911	NA	NA
ENSG00000113273	411	ARSB	ARSB	611542	P15848	NA
ENSG00000214890	NA	CTD-2299I21.1	NA	NA	NA	NA
ENSG00000228219	NA	NPM1P30	NPM1P30	NA	NA	NA
ENSG00000148444	23412	COMMD3	COMMD3	NA	Q9UBI1	NA
ENSG00000269897	100532731	COMMD3-BMI1	COMMD3-BMI1	164831	NA	NA
ENSG00000168283	648	BMI1	BMI1	164831	P35226	NA
ENSG00000272516	NA	RP11-573G6.9	NA	NA	NA	NA
ENSG00000271981	NA	RP11-573G6.8	NA	NA	NA	NA
ENSG00000272366	NA	RP11-573G6.10	NA	NA	NA	NA
ENSG00000077327	9576	SPAG6	SPAG6	605730	O75602	NA
ENSG00000165309	219681	ARMC3	ARMC3	611226	Q5W041	NA
ENSG00000148450	22921	MSRB2	MSRB2	613782	Q9Y3D2	NA
ENSG00000252049	NA	SNORA40	NA	NA	NA	NA
ENSG00000168267	256297	PTF1A	PTF1A	607194	Q7RTS3	NA
ENSG00000204566	NA	C10orf115	C10orf115	NA	Q5QP74	NA
ENSG00000227537	NA	RP11-215C7.3	NA	NA	NA	NA
ENSG00000179133	256815	C10orf67	C10orf67	NA	Q8IYJ2	NA
ENSG00000224215	NA	RP11-371A19.2	NA	NA	NA	NA
ENSG00000264574	100616217	MIR1254-2	MIR1254-2	NA	NA	NA
ENSG00000238515	NA	snoU13	NA	NA	NA	NA
ENSG00000165312	220213	OTUD1	OTUD1	612022	Q5VV17	NA
ENSG00000223928	NA	RP11-183E9.2	NA	NA	NA	NA
ENSG00000207930	693188	MIR603	MIR603	NA	NA	NA
ENSG00000269879	NA	AL353583.1	NA	NA	NA	NA
ENSG00000151023	219670	ENKUR	ENKUR	611025	Q8TC29	NA
ENSG00000185875	79896	THNSL1	THNSL1	611260	Q8IYQ7	DB00114:DB00156
ENSG00000231422	NA	RP11-80K21.3	NA	NA	NA	NA
