ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000223694	ADH5P3	1	240333455	240334591	1	pseudogene	NA	ADH5P3	NA	NA	3	3.251	0	NA	NA	NA	NA	Yes	Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000233735	RP11-567G24.3	1	240341139	240342944	-1	antisense	NA	NA	NA	NA	2	3.251	0	NA	NA	NA	NA	Yes	Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000252317	Y_RNA	1	240504685	240504777	1	misc_RNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000233519	RP11-177F11.1	1	240563971	240564423	-1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000268365	AL646016.1	1	240629183	240643504	-1	protein_coding	NA	NA	NA	NA	1	5.558	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	NA	rs71714702	1
ENSG00000180875	GREM2	1	240652873	240775449	-1	protein_coding	64388	GREM2	0.081742843165364	-0.104736937	4	5.558	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs71714702	1
ENSG00000224359	RP11-467I20.2	1	240693752	240694162	1	lincRNA	NA	NA	NA	NA	1	3.928	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs71714702	1
ENSG00000226014	RP11-467I20.4	1	240713167	240713678	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs71714702	1
ENSG00000231440	RP11-467I20.6	1	240751822	240754048	-1	sense_intronic	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000228844	RP11-467I20.3	1	240799899	240800352	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000251750	RNU5F-8P	1	240816667	240816777	1	snRNA	NA	RNU5F-8P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000234872	RP11-467I20.5	1	240817541	240817925	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000199241	Y_RNA	1	240861620	240861729	1	misc_RNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000230015	RP11-80B9.4	1	240902719	240906911	-1	lincRNA	100506929	NA	NA	NA	1	2.442	0	NA	NA	NA	NA	Yes	EP_correlation_organ_oneway:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.003965	rs71714702	1
ENSG00000226919	RP11-80B9.1	1	240928857	240931980	1	antisense	NA	NA	NA	NA	1	9.951	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000182901	RGS7	1	240931554	241520530	-1	protein_coding	6000	RGS7	0.781745872893189	NA	141	14.82	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	3.779e-06	rs71714702	1
ENSG00000223963	PRKRIRP8	1	240932720	240934834	-1	pseudogene	NA	PRKRIRP8	NA	NA	1	9.951	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000215802	RFKP1	1	240986306	240986733	-1	pseudogene	NA	RFKP1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000233615	HNRNPA1P42	1	241082953	241083909	1	pseudogene	NA	HNRNPA1P42	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.003965	rs71714702	1
ENSG00000238085	RP11-435F13.2	1	241161751	241162094	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000265831	MIR3123	1	241295572	241295646	1	miRNA	100422856	MIR3123	NA	NA	59	14.82	0	NA	NA	NA	NA	Yes	Spleen	3.779e-06	rs71714702	1
ENSG00000224348	RP11-306K13.1	1	241468880	241469182	-1	pseudogene	NA	NA	NA	NA	2	3.812	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000225554	RP11-527D7.1	1	241587592	241596792	1	lincRNA	NA	NA	NA	NA	1	6.39	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000091483	FH	1	241660903	241683061	-1	protein_coding	2271	FH	0.148694445276004	-0.408382093	0	0	0	NA	NA	NA	NA	Yes	Aorta:Dorsolateral_Prefrontal_Cortex:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000117009	KMO	1	241695434	241758944	1	protein_coding	8564	KMO	0.000261678764903106	0.20575903	0	0	0	NA	NA	NA	NA	Yes	Aorta:Dorsolateral_Prefrontal_Cortex:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000054277	OPN3	1	241753404	241840678	-1	protein_coding	23596	OPN3	0.846289039558313	-0.404733963	1	0.66	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000203668	CHML	1	241792155	241799232	-1	protein_coding	1122	CHML	0.0011577797146624	1.342076085	0	0	0	NA	NA	NA	NA	Yes	Adrenal:Aorta:Dorsolateral_Prefrontal_Cortex:Left_Ventricle:Liver:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000162843	WDR64	1	241815580	241965435	1	protein_coding	128025	WDR64	4.9048627570315e-15	NA	2	5.43	0	NA	NA	NA	NA	Yes	Aorta:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000229022	RP11-553N16.1	1	241995237	241996089	1	pseudogene	NA	NA	NA	NA	1	3.495	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000174371	EXO1	1	242011269	242058450	1	protein_coding	9156	EXO1	9.25484656376633e-09	0.798256142	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	0.01003	rs71714702	1
ENSG00000235990	RP11-323D18.5	1	242079425	242079845	1	pseudogene	NA	NA	NA	NA	2	2.445	0	NA	NA	NA	NA	No	NA	NA	rs71714702	1
ENSG00000223119	RNU6-1139P	1	242187251	242187356	-1	snRNA	NA	RNU6-1139P	NA	NA	1	2.349	0	NA	NA	NA	NA	No	NA	NA	rs71714702	1
ENSG00000180287	PLD5	1	242246288	242687998	-1	protein_coding	200150	PLD5	0.124197736898067	NA	1	1.076	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	0.01003	rs71714702	1
ENSG00000222120	RNA5SP81	1	242297574	242297683	1	rRNA	NA	RNA5SP81	NA	NA	1	1.076	0	NA	NA	NA	NA	No	NA	NA	rs71714702	1
ENSG00000252084	RN7SKP12	1	242351949	242352091	-1	misc_RNA	NA	RN7SKP12	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	0.01003	rs71714702	1
ENSG00000224525	RP11-561I11.3	1	242366857	242374129	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.01003	rs71714702	1
ENSG00000235467	RP11-513D4.2	1	242528491	242529124	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	0.02065	rs71714702	1
ENSG00000213690	RP11-513D4.1	1	242540225	242540734	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	0.02065	rs71714702	1
ENSG00000270859	RP11-435I3.1	1	242834442	242834878	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:hESC	0.01003	rs71714702	1
ENSG00000270818	RP11-498M14.1	1	243045368	243046777	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	0.01003	rs71714702	1
ENSG00000264972	AL445675.1	1	243061172	243061255	-1	miRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	0.01003	rs71714702	1
ENSG00000143702	CEP170	1	243287730	243418650	-1	protein_coding	9859	CEP170	NA	-1.482278746	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000269795	AC092782.1	1	243388058	243395911	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs71714702	1
ENSG00000054282	SDCCAG8	1	243419320	243663394	1	protein_coding	10806	SDCCAG8	1.32893386487215e-07	-0.422227426	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000224727	FCF1P7	1	243430559	243431421	-1	pseudogene	NA	FCF1P7	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000265201	MIR4677	1	243509478	243509557	1	miRNA	100616343	MIR4677	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000236031	RP11-269F20.1	1	243708834	243711631	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs71714702	1
ENSG00000228939	AKT3-IT1	1	243956507	243957702	-1	sense_intronic	NA	AKT3-IT1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000226828	RP11-278H7.1	1	244080704	244210619	1	lincRNA	339529	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000179456	ZBTB18	1	244214585	244220778	1	protein_coding	10472	ZBTB18	0.97012354907433	-0.604927363	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000268146	AL590483.1	1	244227632	244231211	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000229960	RP11-278H7.4	1	244232122	244256328	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs71714702	1
ENSG00000244066	RN7SL148P	1	244267234	244267510	1	misc_RNA	NA	RN7SL148P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs71714702	1
ENSG00000237759	RP11-278H7.3	1	244270667	244272313	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs71714702	1
ENSG00000240963	RP11-518L10.5	1	244538402	244572894	-1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000035687	ADSS	1	244571796	244615436	-1	protein_coding	159	ADSS	0.822870227739542	-0.514646996	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000179397	C1orf101	1	244617679	244804479	1	protein_coding	257044	C1orf101	5.88680638235274e-07	-0.466874832	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	NA	rs71714702	1
ENSG00000227735	CYCSP5	1	244761693	244761989	-1	pseudogene	NA	CYCSP5	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	NA	rs71714702	1
ENSG00000121644	DESI2	1	244816237	244872335	1	protein_coding	51029	DESI2	NA	-1.064979887	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs71714702	1
ENSG00000163328	GPR155	2	175296966	175351822	-1	protein_coding	151556	GPR155	8.12952100257327e-11	0.160784797	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	NA	rs4072527	2
ENSG00000226853	AC010894.3	2	175352117	175353114	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	NA	rs4072527	2
ENSG00000179997	AC010894.4	2	175366680	175367043	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	NA	rs62177211:rs4072527	2:3
ENSG00000236449	AC018890.6	2	175411869	175639555	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	NA	rs4072527	2
ENSG00000206965	RNU6-5P	2	175422694	175422800	-1	snRNA	101954271	RNU6-5P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	NA	rs4072527	2
ENSG00000115935	WIPF1	2	175424300	175547644	-1	protein_coding	7456	WIPF1	0.944313925016733	1.204721245	0	0	18	2.70467e-05	8.06249e-05	CMC_SVA_cis:GTEx/v8/Thyroid:GTEx/v7/Esophagus_Muscularis	+	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	0.001167	rs4072527	2
ENSG00000237798	AC010894.5	2	175439955	175452454	1	antisense	NA	NA	NA	NA	0	0	5	2.634e-06	0.00021241935483871	TIGER/Nom_Alonso_Pancreatic_islets	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs4072527	2
ENSG00000235655	H3F3AP4	2	175584505	175585526	1	pseudogene	440926	H3F3AP4	NA	NA	0	0	16	1.18068e-05	0.0219057	GTEx/v8/Brain_Cortex:GTEx/v7/Muscle_Skeletal:GTEx/v7/Nerve_Tibial:GTEx/v7/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v7/Skin_Sun_Exposed_Lower_leg:GTEx/v7/Thyroid:GTEx/v6/Muscle_Skeletal:GTEx/v6/Nerve_Tibial	-	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	5.352e-05	rs4072527	2
ENSG00000138435	CHRNA1	2	175612320	175629200	-1	protein_coding	1134	CHRNA1	8.79556820389947e-06	-0.047361204	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs4072527	2
ENSG00000237104	AC018890.4	2	175647774	175652656	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs4072527:rs62177211	2:3
ENSG00000128656	CHN1	2	175664091	175870097	-1	protein_coding	1123	CHN1	0.837424430279943	NA	0	0	193	1.1871e-16	0	eQTLGen_cis_eQTLs:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Thyroid:GTEx/v7/Artery_Aorta:GTEx/v7/Artery_Tibial:GTEx/v7/Brain_Cerebellum:GTEx/v7/Thyroid	+	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	8.557e-06	rs4072527	2
ENSG00000201425	Y_RNA	2	175842531	175842625	1	misc_RNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs4072527	2
ENSG00000212167	RNU6-763P	2	175886942	175887047	1	snRNA	NA	RNU6-763P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs4072527:rs62177211	2:3
ENSG00000199827	RNU6-1290P	2	175894497	175894605	1	snRNA	NA	RNU6-1290P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs4072527:rs62177211	2:3
ENSG00000227187	RP11-6C10.1	2	175898506	175898920	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs4072527:rs62177211	2:3
ENSG00000266510	AC007435.1	2	175899245	175899318	-1	miRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs4072527:rs62177211	2:3
ENSG00000115966	ATF2	2	175936978	176033110	-1	protein_coding	1386	ATF2	0.89224439257863	-0.909061905	0	0	1	1.358e-05	0.00109516129032258	TIGER/Nom_Alonso_Pancreatic_islets	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs4072527;rs62177211:rs4072527	2:3
ENSG00000215973	MIR933	2	176032361	176032437	-1	miRNA	100126350	MIR933	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs62177211:rs4072527	2:3
ENSG00000229750	AC096649.2	2	176032632	176033250	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs62177211:rs4072527	2:3
