Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
Allen_Human_MTG_level2	Exc_L4.5_RORB_DAPK2	14760	0.0029944	0.0067441	0.011731	0.39926	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_C1QL3	14760	0.0026027	0.0063207	0.010693	0.40385	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Endo_L2.6_NOSTRIN	14760	0.0014905	0.0021785	0.0064844	0.4091	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_FEZF2_ABO	14760	0.0019517	0.0046574	0.010234	0.42438	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.2_VIP_TSPAN12	14760	0.001804	0.0038061	0.01062	0.43256	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L4.5_RORB_FOLH1B	14760	0.0018287	0.0044486	0.010828	0.43294	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_THEMIS_DCSTAMP	14760	0.0013669	0.003365	0.0084172	0.4355	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L4.6_FEZF2_IL26	14760	0.0015595	0.00359	0.010242	0.43949	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.3_VIP_ADAMTSL1	14760	0.0015526	0.0033423	0.01171	0.44726	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.4_VIP_PENK	14760	0.00060286	0.0013496	0.0093712	0.47435	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L2_LAMP5_LTK	14760	0.00053938	0.0012041	0.010615	0.47974	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.3_VIP_CHRM2	14760	0.00049663	0.0010154	0.011931	0.4834	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L2.4_LINC00507_GLP2R	14760	-0.00016109	-0.00036715	0.011167	0.50575	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L4.6_RORB_SEMA3E	14760	-0.00062305	-0.0014175	0.012315	0.52017	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L3.5_SST_ADGRG6	14760	-0.00066393	-0.0013872	0.011851	0.52234	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L5.6_SST_TH	14760	-0.0011078	-0.002524	0.0097427	0.54526	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1_SST_NMBR	14760	-0.0013581	-0.002845	0.011365	0.54756	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.2_PAX6_CDH12	14760	-0.001492	-0.0031782	0.010735	0.55527	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L6_FEZF2_OR2T8	14760	-0.0013407	-0.0033382	0.0085239	0.56249	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L5.6_GAD1_GLP1R	14760	-0.001754	-0.0039973	0.0099313	0.57009	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.3_SST_CALB1	14760	-0.0028525	-0.0055847	0.01239	0.59104	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L4.6_SST_B3GAT2	14760	-0.0034821	-0.0072139	0.01249	0.6098	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1_SST_CHRNA4	14760	-0.0029878	-0.006214	0.010359	0.61349	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L5.6_SST_KLHDC8A	14760	-0.003161	-0.0071263	0.010648	0.61671	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L5.6_PVALB_LGR5	14760	-0.0031441	-0.0068488	0.010473	0.61799	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L5.6_RORB_TTC12	14760	-0.0043448	-0.010489	0.010509	0.66035	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.4_SST_FRZB	14760	-0.005497	-0.011869	0.011437	0.68461	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.4_VIP_CBLN1	14760	-0.005488	-0.011063	0.011201	0.6879	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L4.5_PVALB_MEPE	14760	-0.0051116	-0.011933	0.010363	0.68908	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.4_VIP_CHRNA6	14760	-0.0053017	-0.011458	0.0099476	0.70297	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L4.6_SST_GXYLT2	14760	-0.0059891	-0.013454	0.010792	0.71053	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.2_LAMP5_DBP	14760	-0.0050314	-0.010961	0.0088304	0.71558	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L4.6_RORB_C1R	14760	-0.0063477	-0.014594	0.01107	0.7168	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.5_VIP_TYR	14760	-0.0068202	-0.014255	0.010917	0.73392	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.3_VIP_CCDC184	14760	-0.0069694	-0.015233	0.011135	0.73431	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.4_VIP_OPRM1	14760	-0.0074971	-0.015357	0.011345	0.74564	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.3_VIP_CASC6	14760	-0.0072951	-0.016808	0.010708	0.75214	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.3_PAX6_SYT6	14760	-0.0078193	-0.018045	0.010578	0.7701	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L3.6_VIP_HS3ST3A1	14760	-0.0090638	-0.019267	0.01164	0.78191	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L3.6_SST_NPY	14760	-0.0070037	-0.016134	0.0085504	0.79363	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Exc_L6_FEZF2_SCUBE1	14760	-0.0075523	-0.018084	0.0090462	0.79809	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.2_PAX6_TNFAIP8L3	14760	-0.0073406	-0.017239	0.0085499	0.8047	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.3_VIP_GGH	14760	-0.0096359	-0.01924	0.011037	0.80867	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.2_VIP_PCDH20	14760	-0.010212	-0.021043	0.011334	0.8162	0.941769230769231	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.2_VIP_LBH	14760	-0.011213	-0.02488	0.011609	0.83295	0.943930147058824	0.996876670716889
Allen_Human_MTG_level2	Inh_L5.6_SST_MIR548F2	14760	-0.011945	-0.027333	0.011276	0.85527	0.943930147058824	0.996876670716889
Allen_Human_MTG_level2	Inh_L4.6_PVALB_SULF1	14760	-0.012764	-0.027815	0.012021	0.85583	0.943930147058824	0.996876670716889
Allen_Human_MTG_level2	Inh_L5.6_SST_NPM1P10	14760	-0.015292	-0.033285	0.012174	0.89546	0.97085472972973	0.996876670716889
Allen_Human_MTG_level2	Inh_L1.4_LAMP5_LCP2	14760	-0.015009	-0.032381	0.010742	0.91881	0.97085472972973	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.4_PVALB_WFDC2	14760	-0.016171	-0.036536	0.0114	0.92196	0.97085472972973	0.996876670716889
Allen_Human_MTG_level2	Inh_L3.6_SST_HPGD	14760	-0.018467	-0.04169	0.011599	0.9443	0.97085472972973	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.5_PVALB_SCUBE3	14760	-0.015328	-0.033665	0.0092883	0.95054	0.97085472972973	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.6_VIP_QPCT	14760	-0.017509	-0.037007	0.010138	0.95791	0.97085472972973	0.996876670716889
Allen_Human_MTG_level2	Inh_L2.6_LAMP5_CA1	14760	-0.023412	-0.051624	0.010907	0.98408	0.98408	0.996876670716889
DroNc_Human_Hippocampus	ASC1	14522	0.65546	0.027789	0.30518	0.015875	0.238125	0.497585
DroNc_Human_Hippocampus	END	14522	0.21972	0.017268	0.12115	0.034877	0.246534	0.531105
DroNc_Human_Hippocampus	ODC1	14522	0.42287	0.015909	0.2896	0.072136	0.246534	0.682473
DroNc_Human_Hippocampus	MG	14522	0.43309	0.014969	0.31032	0.081428	0.246534	0.682473
DroNc_Human_Hippocampus	ASC2	14522	0.38756	0.017337	0.27869	0.082178	0.246534	0.682473
DroNc_Human_Hippocampus	ODC2	14522	0.31632	0.014139	0.24607	0.099319	0.2482975	0.728079831932773
DroNc_Human_Hippocampus	NSC	14522	0.13926	0.011821	0.11898	0.12092	0.259114285714286	0.798072
DroNc_Human_Hippocampus	exCA3	14522	0.041745	0.0033541	0.22409	0.42611	0.79895625	0.996876670716889
DroNc_Human_Hippocampus	exPFC2	14522	-0.012024	-0.0017108	0.16912	0.52834	0.880566666666667	0.996876670716889
DroNc_Human_Hippocampus	OPC	14522	-0.36856	-0.013118	0.36663	0.8426	0.97662	0.996876670716889
DroNc_Human_Hippocampus	GABA2	14522	-0.27257	-0.020684	0.24085	0.8711	0.97662	0.996876670716889
DroNc_Human_Hippocampus	exPFC1	14522	-0.29137	-0.0247	0.25002	0.87806	0.97662	0.996876670716889
DroNc_Human_Hippocampus	exDG	14522	-0.35796	-0.029136	0.21813	0.94959	0.97662	0.996876670716889
DroNc_Human_Hippocampus	exCA1	14522	-0.41315	-0.040496	0.21558	0.97234	0.97662	0.996876670716889
DroNc_Human_Hippocampus	GABA1	14522	-0.48125	-0.03741	0.24199	0.97662	0.97662	0.996876670716889
GSE104276_Human_Prefrontal_cortex_all_ages	Astrocytes	14724	0.011995	0.023021	0.012873	0.17572	0.76765	0.873307228915662
GSE104276_Human_Prefrontal_cortex_all_ages	GABAergic_neurons	14724	0.0046806	0.0072725	0.019396	0.40466	0.76765	0.996876670716889
GSE104276_Human_Prefrontal_cortex_all_ages	Microglia	14724	0.00023422	0.00041641	0.0098091	0.49048	0.76765	0.996876670716889
GSE104276_Human_Prefrontal_cortex_all_ages	OPC	14724	-0.0085881	-0.015156	0.019317	0.67169	0.76765	0.996876670716889
GSE104276_Human_Prefrontal_cortex_all_ages	Stem_cells	14724	-0.009761	-0.01853	0.014345	0.75188	0.76765	0.996876670716889
GSE104276_Human_Prefrontal_cortex_all_ages	Neurons	14724	-0.013841	-0.024362	0.01893	0.76765	0.76765	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW26_Stem_cells	14724	0.011371	0.024837	0.0065473	0.04123	0.8111775	0.57231625
GSE104276_Human_Prefrontal_cortex_per_ages	GW12_GABAergic_neurons	14724	0.011827	0.019376	0.0089501	0.093183	0.8111775	0.709280504587156
GSE104276_Human_Prefrontal_cortex_per_ages	GW26_Astrocytes	14724	0.011014	0.021211	0.0096585	0.12708	0.8111775	0.811546153846154
GSE104276_Human_Prefrontal_cortex_per_ages	GW10_Microglia	14724	0.0047404	0.01256	0.0045227	0.1473	0.8111775	0.863826923076923
GSE104276_Human_Prefrontal_cortex_per_ages	GW26_GABAergic_neurons	14724	0.01304	0.021007	0.012567	0.14973	0.8111775	0.863826923076923
GSE104276_Human_Prefrontal_cortex_per_ages	GW19_OPC	14724	0.0063758	0.013023	0.0061769	0.151	0.8111775	0.865104166666667
GSE104276_Human_Prefrontal_cortex_per_ages	GW19_Microglia	14724	0.0036847	0.0094807	0.003593	0.15257	0.8111775	0.867147959183674
GSE104276_Human_Prefrontal_cortex_per_ages	GW16_Microglia	14724	0.0079712	0.015808	0.0078354	0.15451	0.8111775	0.867147959183674
GSE104276_Human_Prefrontal_cortex_per_ages	GW19_Astrocytes	14724	0.0050065	0.010589	0.0064453	0.21866	0.896798823529412	0.963363031914894
GSE104276_Human_Prefrontal_cortex_per_ages	GW12_Stem_cells	14724	0.0071369	0.014454	0.0098261	0.23383	0.896798823529412	0.985149305555556
GSE104276_Human_Prefrontal_cortex_per_ages	GW19_Neurons	14724	0.0083334	0.014093	0.014082	0.27701	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW08_Stem_cells	14724	0.0032595	0.0072741	0.0057207	0.28442	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW23_OPC	14724	0.0057521	0.010102	0.011549	0.30922	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW26_OPC	14724	0.0067904	0.012031	0.013705	0.31014	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW23_GABAergic_neurons	14724	0.006355	0.0094346	0.014889	0.33476	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW23_Astrocytes	14724	0.0024076	0.0050135	0.0066291	0.35824	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW26_Microglia	14724	0.0031666	0.0056372	0.0090345	0.36299	0.896798823529412	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW08_Neurons	14724	0.0016491	0.0032358	0.010068	0.43494	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW16_Neurons	14724	0.00030561	0.00057113	0.015375	0.49207	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW12_Neurons	14724	-0.00062347	-0.0010781	0.012999	0.51913	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW09_Stem_cells	14724	-0.00059124	-0.0010713	0.01099	0.52145	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW10_Neurons	14724	-0.0019333	-0.0036087	0.013778	0.55579	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW08_GABAergic_neurons	14724	-0.00080609	-0.0016624	0.0056375	0.55685	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW23_Stem_cells	14724	-0.0012667	-0.0028932	0.0047626	0.60487	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW10_Stem_cells	14724	-0.0036924	-0.0070833	0.012944	0.61227	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW09_GABAergic_neurons	14724	-0.0018028	-0.0032939	0.0061054	0.6161	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW23_Microglia	14724	-0.0022583	-0.0039413	0.0068077	0.62995	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW16_Stem_cells	14724	-0.0052284	-0.010383	0.014784	0.63819	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW26_Neurons	14724	-0.0057036	-0.0087735	0.015463	0.64388	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW08_Microglia	14724	-0.0016424	-0.0042317	0.0040685	0.65678	0.919492	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW12_OPC	14724	-0.0030682	-0.0070366	0.0050781	0.72714	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW23_Neurons	14724	-0.0094318	-0.014888	0.014329	0.74479	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW09_Neurons	14724	-0.0083549	-0.016248	0.011619	0.76395	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW13_Neurons	14724	-0.0082909	-0.015185	0.010662	0.78159	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW13_Stem_cells	14724	-0.0060766	-0.012193	0.00764	0.78679	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW19_Stem_cells	14724	-0.0068066	-0.014206	0.0068202	0.84085	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW19_GABAergic_neurons	14724	-0.013135	-0.01863	0.013013	0.84358	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW10_GABAergic_neurons	14724	-0.0093	-0.015168	0.0084913	0.86328	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW16_GABAergic_neurons	14724	-0.0191	-0.031504	0.015472	0.89148	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW12_Microglia	14724	-0.0045113	-0.011597	0.0035465	0.89831	0.9432255	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW13_Microglia	14724	-0.0049824	-0.013078	0.0034343	0.92657	0.949169268292683	0.996876670716889
GSE104276_Human_Prefrontal_cortex_per_ages	GW16_OPC	14724	-0.020139	-0.0398	0.0098305	0.97974	0.97974	0.996876670716889
GSE67835_Human_Cortex	microglia	14209	0.012608	0.016293	0.0085249	0.069581	0.47862	0.682473
GSE67835_Human_Cortex	endothelial	14209	0.0086502	0.013054	0.0091439	0.17208	0.47862	0.869368902439024
GSE67835_Human_Cortex	oligodendrocytes	14209	0.0074648	0.013154	0.0089504	0.20214	0.47862	0.951
GSE67835_Human_Cortex	astrocytes	14209	0.0067018	0.011625	0.0084083	0.21272	0.47862	0.963363031914894
GSE67835_Human_Cortex	OPC	14209	-0.0033732	-0.0056979	0.0095354	0.63824	0.96687	0.996876670716889
GSE67835_Human_Cortex	fetal_quiescent	14209	-0.0050473	-0.0081522	0.01004	0.69241	0.96687	0.996876670716889
GSE67835_Human_Cortex	fetal_replicating	14209	-0.0090538	-0.014223	0.0096569	0.82575	0.96687	0.996876670716889
GSE67835_Human_Cortex	neurons	14209	-0.013563	-0.026496	0.0093286	0.927	0.96687	0.996876670716889
GSE67835_Human_Cortex	hybrid	14209	-0.022965	-0.044473	0.012503	0.96687	0.96687	0.996876670716889
GSE67835_Human_Cortex_woFetal	microglia	14209	0.01211	0.015649	0.008658	0.080964	0.4422075	0.682473
GSE67835_Human_Cortex_woFetal	endothelial	14209	0.0076426	0.011533	0.0093201	0.20611	0.4422075	0.955285112359551
GSE67835_Human_Cortex_woFetal	oligodendrocytes	14209	0.0064309	0.011333	0.0093449	0.24568	0.4422075	0.985149305555556
GSE67835_Human_Cortex_woFetal	astrocytes	14209	0.0058467	0.010141	0.0087778	0.25269	0.4422075	0.985149305555556
GSE67835_Human_Cortex_woFetal	OPC	14209	-0.0054145	-0.0091459	0.0098803	0.70815	0.98489	0.996876670716889
GSE67835_Human_Cortex_woFetal	neurons	14209	-0.014668	-0.028655	0.0091121	0.94626	0.98489	0.996876670716889
GSE67835_Human_Cortex_woFetal	hybrid	14209	-0.027785	-0.053806	0.01282	0.98489	0.98489	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	Glut_6	14579	0.20511	0.034303	0.10818	0.028996	0.2289265	0.516384
Linnarsson_GSE101601_Human_Temporal_cortex	Glut_2	14579	0.24722	0.057675	0.14271	0.041623	0.2289265	0.57231625
Linnarsson_GSE101601_Human_Temporal_cortex	Glut_4	14579	0.11946	0.026628	0.14119	0.19875	0.72875	0.942349137931034
Linnarsson_GSE101601_Human_Temporal_cortex	Glut_5	14579	0.14862	0.018438	0.25267	0.27821	0.7650775	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	GABA_5	14579	-0.060877	-0.0066846	0.23977	0.60021	0.943677777777778	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	GABA_3	14579	-0.075832	-0.0088277	0.22051	0.63453	0.943677777777778	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	GABA_2	14579	-0.08315	-0.010045	0.21079	0.65338	0.943677777777778	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	Glut_3	14579	-0.10384	-0.017392	0.19816	0.69986	0.943677777777778	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	Glut_1	14579	-0.17037	-0.025937	0.22844	0.7721	0.943677777777778	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	GABA_1	14579	-0.32529	-0.032577	0.16281	0.97713	0.996	0.996876670716889
Linnarsson_GSE101601_Human_Temporal_cortex	GABA_4	14579	-0.42557	-0.064308	0.16045	0.996	0.996	0.997208737864078
Linnarsson_GSE76381_Human_Midbrain	ProgM	12806	0.11305	0.036402	0.071063	0.055832	0.831805555555555	0.648752112676056
Linnarsson_GSE76381_Human_Midbrain	ProgFPM	12806	0.088883	0.027032	0.065797	0.088382	0.831805555555555	0.694125700934579
Linnarsson_GSE76381_Human_Midbrain	Endo	12806	0.041711	0.015214	0.0367	0.12788	0.831805555555555	0.811546153846154
Linnarsson_GSE76381_Human_Midbrain	ProgFPL	12806	0.051117	0.020063	0.053637	0.1703	0.831805555555555	0.869368902439024
Linnarsson_GSE76381_Human_Midbrain	Rgl2b	12806	0.075744	0.0205	0.080311	0.17282	0.831805555555555	0.869368902439024
Linnarsson_GSE76381_Human_Midbrain	NbGaba	12806	0.040909	0.011413	0.051726	0.21451	0.831805555555555	0.963363031914894
Linnarsson_GSE76381_Human_Midbrain	Rgl1	12806	0.043201	0.014258	0.066306	0.25735	0.831805555555555	0.985149305555556
Linnarsson_GSE76381_Human_Midbrain	OPC	12806	0.03372	0.010709	0.059207	0.28451	0.831805555555555	0.996876670716889
Linnarsson_GSE76381_Human_Midbrain	Mgl	12806	0.022442	0.0066378	0.042665	0.29945	0.831805555555555	0.996876670716889
Linnarsson_GSE76381_Human_Midbrain	ProgBP	12806	0.020367	0.0059975	0.079027	0.39831	0.90972	0.996876670716889
Linnarsson_GSE76381_Human_Midbrain	Gaba	12806	0.01543	0.0038915	0.061785	0.4014	0.90972	0.996876670716889
Linnarsson_GSE76381_Human_Midbrain	Rgl3	12806	-0.0034444	-0.0012737	0.049858	0.52754	0.90972	0.996876670716889
Linnarsson_GSE76381_Human_Midbrain	Rgl2a	12806	-0.0054216	-0.0019427	0.059818	0.53611	0.90972	0.996876670716889
